customerID,tenure,PhoneService,Contract,Paperless,PaymentMethod,MonthlyCharges,MonthlyGroceryspent,Churn,Revenue,gender,Age,Partner,N_dependent
0002-ORFBO,9,Yes,One year,Yes,Mailed check,65.6,1013,No,96269,Female,58,Yes,1
0003-MKNFE,9,Yes,Month-to-month,No,Mailed check,59.9,1053,No,85461,Female,39,No,0
0004-TLHLJ,4,Yes,Month-to-month,Yes,Electronic check,73.9,1213,Yes,78686,Female,43,No,0
0011-IGKFF,13,Yes,Month-to-month,Yes,Electronic check,98,1376,Yes,192405,Male,78,Yes,0
0013-EXCHZ,3,Yes,Month-to-month,Yes,Mailed check,83.9,1185,Yes,120089,Male,65,Yes,0
0013-MHZWF,9,Yes,Month-to-month,Yes,Credit card (automatic),69.4,939,No,79389,Female,57,No,3
0013-SMEOE,71,Yes,Two year,Yes,Bank transfer (automatic),109.7,1482,No,259527,Female,70,Yes,0
0014-BMAQU,63,Yes,Two year,Yes,Credit card (automatic),84.65,1267,No,123061,Male,64,Yes,0
0015-UOCOJ,7,Yes,Month-to-month,Yes,Electronic check,48.2,671,No,42729,Female,88,No,0
0016-QLJIS,65,Yes,Two year,Yes,Mailed check,90.45,1419,No,179157,Male,50,Yes,3
0017-DINOC,54,No,Two year,No,Credit card (automatic),45.2,813,No,27568,Female,32,No,0
0017-IUDMW,72,Yes,Two year,Yes,Credit card (automatic),116.8,1444,No,,Female,36,Yes,1
0018-NYROU,5,Yes,Month-to-month,Yes,Electronic check,68.95,979,No,79273,Female,55,Yes,0
0019-EFAEP,72,Yes,Two year,Yes,Bank transfer (automatic),101.3,1407,No,180748,Female,53,No,0
0019-GFNTW,56,No,Two year,No,Bank transfer (automatic),45.05,832,No,25059,Female,29,No,0
0020-INWCK,71,Yes,Two year,Yes,Credit card (automatic),95.75,1458,No,192250,Male,40,Yes,1
0020-JDNXP,34,No,One year,No,Mailed check,61.25,1018,No,85284,Female,60,Yes,2
